Word,Conc.M,Conc.SD
angelfish,5,0
antelope,5,0
apple,5,0
armchair,5,0
axe,5,0
baby,5,0
bagel,5,0
ball,5,0
banana,5,0
bandanna,5,0
barbedwire,5,0
barracuda,5,0
basket,5,0
bat,5,0
bathrobe,5,0
bean,5,0
bed,5,0
bedpan,5,0
bedsheet,5,0
bellybutton,5,0
bike,5,0
binoculars,5,0
bird,5,0
blackbird,5,0
blanket,5,0
blender,5,0
boots,5,0
braces,5,0
breasts,5,0
bug,5,0
burrito,5,0
cactus,5,0
cage,5,0
camcorder,5,0
camera,5,0
carrot,5,0
carton,5,0
cauliflower,5,0
cellphone,5,0
chimney,5,0
chopsticks,5,0
clock,5,0
cobra,5,0
comb,5,0
cookie,5,0
crawfish,5,0
cup,5,0
cupcake,5,0
daisy,5,0
dandelion,5,0
deodorant,5,0
dogs,5,0
doll,5,0
donkey,5,0
doorstep,5,0
dustpan,5,0
eagle,5,0
ear,5,0
eggnog,5,0
elbow,5,0
elephant,5,0
escalator,5,0
escargot,5,0
eyedropper,5,0
eyelash,5,0
eyelid,5,0
fern,5,0
finger,5,0
firehydrant,5,0
firetruck,5,0
fish,5,0
flashlight,5,0
flower,5,0
flute,5,0
flyswatter,5,0
frog,5,0
goat,5,0
granite,5,0
grape,5,0
gravel,5,0
greyhound,5,0
guardrail,5,0
hamburger,5,0
handgun,5,0
handkerchief,5,0
handsaw,5,0
headband,5,0
horn,5,0
horse,5,0
horseshoe,5,0
hotdog,5,0
house,5,0
hubcap,5,0
icepack,5,0
jar,5,0
jeans,5,0
ketchup,5,0
kite,5,0
knee,5,0
ladder,5,0
lantern,5,0
leaf,5,0
lemon,5,0
leopard,5,0
lightbulb,5,0
lollypop,5,0
magazine,5,0
mailbox,5,0
mango,5,0
margarita,5,0
mattress,5,0
meatloaf,5,0
meerkat,5,0
microscope,5,0
mousetrap,5,0
mule,5,0
nailbrush,5,0
neck,5,0
nectarine,5,0
nightshirt,5,0
oat,5,0
