word,imageability,sd_rating,rt,sd_rt,n_raters
ace,4.5,2.7,1363,654,29
ache,3.8,2.3,1439.7,640.3,30
act,3.5,2.3,1388.6,787.7,31
ad,4.1,2.6,1237.3,812.4,28
add,3.3,2.2,1287.3,606.3,30
aft,1.6,1.4,1228.9,678.3,31
age,3.4,2.3,1354.9,726.2,30
aid,3.5,2.4,1507.5,1447.6,31
aide,2.5,1.8,1626.3,874.1,29
ail,1.9,1.5,1357.5,1068.3,31
aim,3.9,2.3,1386.4,674.8,30
air,4,2.5,1585.6,1137.9,30
aisle,5.3,2,1606.9,957,29
ale,4,2.7,1304,629.3,30
all,2.3,1.9,1375.8,1249.4,31
alms,2.3,1.9,1630.7,1190,29
alp,2.7,2.1,1622.5,877.4,30
am,1.8,1.6,1186.9,680,30
an,1.2,0.6,1160.8,785.4,30
and,1.3,0.7,1241.9,830.9,31
ant,6.7,1.2,1043.4,489.1,31
ape,6.8,0.7,1003.7,399.1,30
apse,1.3,0.6,1473.9,927.1,28
apt,1.9,1.8,1355.7,1091.7,30
arc,5,2.4,1509.7,665.5,29
arch,5.1,2.1,1325.3,670.3,30
are,1.3,0.8,1200,530.4,29
ark,5.7,2.1,1154.4,527.4,31
arm,6.8,0.7,1109.7,547.7,31
art,4.6,2.5,1248.1,644.8,30
arts,4,2.4,1590.4,1002.3,31
as,1.4,1,1248.8,924.4,31
ash,5.7,2,1336.1,754.4,31
ask,2.7,1.8,1393.9,832.2,30
ass,6,2,1385.9,590.6,30
at,1.4,1.2,1235.6,694.4,31
ate,3.9,2.1,1486.8,741.5,30
aunt,6.2,1.6,1180.2,500.7,31
awe,2.3,2,1233.2,551.3,31
ax,6.2,1.8,856.8,298,29
axe,6.3,1.8,950.3,326.3,31
aye,1.7,1.3,1234,543.6,31
babe,5.7,2,1221,622.1,29
back,5,2.2,1612,1226.6,29
bad,2.4,1.8,1311.1,835.1,31
badge,5.9,1.6,1280.1,740.5,30
bag,6.4,1.4,1008.2,392.1,30
bail,3.9,2.2,1683.4,1333.2,29
bait,5.6,2,1280.9,729.6,31
bake,5.1,2.1,1654.2,843.4,30
bald,6.2,1.3,1367.5,828.1,30
bale,3.4,2.3,1395.6,820.2,27
balk,1.8,1.5,1479.4,1002.3,31
ball,6.6,1.2,933.7,287.2,30
balm,4.3,2.2,1511.6,710.1,30
ban,2.9,2,1391.3,794.6,30
band,6,1.8,1107.1,700.7,30
bane,2.1,1.7,1114.1,500.4,30
bang,3.7,2.2,1333.6,725,31
bank,6.1,1.7,1103.6,627.2,30
bar,6.1,1.7,1294.5,827.3,30
barb,4.3,2.6,1871.4,1055.6,31
bare,3.9,2.3,1629.8,1174,31
barge,5.7,2.1,1399.5,781.3,28
bark,5,2.2,1375.8,807.8,30
barn,6.9,0.5,965.5,519.2,30
base,4.4,2.5,1668.8,1089.5,29
bash,3.2,2.2,1477.1,683.4,31
bask,2.6,1.7,1724.5,1304,31
bass,5.7,2,1325.3,620.8,31
baste,3.5,2.3,1651,1175.1,30
bat,6.2,1.7,1182.3,622.5,31
batch,3.8,2.3,1814.7,1392.6,30
bath,6,1.6,1175,508.1,31
bathe,4.5,2.4,1399.1,600.7,30
bawl,3.6,2.3,1538.1,757.2,30
