word,childes_freq,rank
you,10398,1
i,9985,2
a,9971,3
the,9746,4
it,9641,5
that,9160,6
to,9138,7
what,8682,8
no,8648,9
and,8509,10
xxx,8367,11
in,8357,12
is,8304,13
do,8087,14
oh,7999,15
on,7975,16
this,7903,17
yeah,7868,18
don't,7721,19
go,7602,20
me,7555,21
want,7338,22
one,7257,23
that's,7224,24
okay,7202,25
there,7192,26
can,7133,27
here,7116,28
have,7108,29
like,7086,30
see,7007,31
get,6997,32
up,6737,33
it's,6725,34
are,6724,35
your,6703,36
of,6665,37
with,6588,38
not,6562,39
know,6539,40
we,6526,41
for,6501,42
right,6474,43
did,6363,44
my,6232,45
he,6202,46
all,6173,47
put,6124,48
i'm,6097,49
now,6070,50
at,6045,51
some,5728,52
was,5686,53
how,5631,54
out,5624,55
look,5607,56
good,5602,57
just,5575,58
be,5522,59
got,5497,60
too,5455,61
little,5448,62
gonna,5443,63
where,5440,64
what's,5411,65
down,5356,66
so,5354,67
come,5352,68
going,5274,69
they,5266,70
them,5162,71
more,5000,72
but,4971,73
you're,4945,74
think,4831,75
why,4783,76
then,4775,77
when,4713,78
yes,4707,79
over,4670,80
take,4654,81
big,4630,82
back,4594,83
she,4539,84
mommy,4533,85
because,4531,86
two,4509,87
if,4501,88
about,4495,89
well,4490,90
play,4446,91
huh,4432,92
i'll,4399,93
can't,4367,94
make,4343,95
say,4266,96
eat,4176,97
off,4167,98
him,4165,99
does,4077,100
there's,4042,101
didn't,4031,102
who,4031,103
wanna,3972,104
his,3954,105
her,3940,106
something,3939,107
let's,3934,108
uh,3901,109
these,3896,110
those,3877,111
he's,3876,112
have_to,3869,113
will,3796,114
doing,3787,115
other,3758,116
daddy,3753,117
um,3725,118
time,3695,119
or,3684,120
tell,3609,121
let,3599,122
another,3568,123
way,3466,124
where's,3455,125
baby,3436,126
need,3395,127
again,3365,128
would,3355,129
had,3349,130
hm,3323,131
give,3245,132
they're,3234,133
has,3217,134
very,3194,135
were,3176,136
hey,3171,137
nice,3165,138
could,3150,139
house,3076,140
doesn't,3066,141
said,3064,142
sit,3063,143
from,3013,144
else,2999,145
an,2938,146
