word,m_embodiment,sd_embodiment
absorb,3.23,1.73
abuse,5.19,1.58
accept,2.78,1.68
accuse,2.97,1.49
achieve,3.2,1.83
acknowledge,2.86,1.82
act,5.45,1.69
adapt,4.14,1.73
add,3.2,1.66
adjust,3.55,1.61
admire,3.33,1.99
admonish,3.03,1.3
adopt,3.49,1.93
adore,3.45,1.67
advise,3.31,1.97
affirm,2.74,1.61
afford,2.58,1.82
agree,3.16,1.75
aid,3.87,1.45
ail,3.69,1.77
align,3.14,1.56
allot,2.71,1.62
allow,3,1.65
alter,3.39,1.63
amaze,3.17,1.85
amend,2.42,1.34
amuse,3.39,1.98
announce,4.03,1.72
annoy,3.51,1.99
anticipate,3.25,1.79
appear,3.9,1.96
apply,2.83,1.61
appreciate*,2.83,1.9
argue,4.64,2.03
arouse,5.39,1.66
arrange,3.36,1.79
arrive,3.87,1.91
ascend,3.42,1.89
ask,4.72,2.02
aspire,2.94,1.88
assault,5.52,1.31
assert,3.69,1.94
assess,2.74,1.41
assign,2.81,1.62
assimilate,2.89,1.7
assist,3.84,1.49
assume,2.65,1.56
assure,3.26,1.59
attach,3.75,1.79
attack,5.48,1.46
attain,2.71,1.19
attempt,3.31,1.83
attend,3.81,1.8
avenge,3.17,1.85
avert,2.87,1.73
avoid,3.45,1.59
await,3.14,1.68
awaken,5.92,1.32
bake,4.83,2.21
ban,2.63,1.5
banish,2.9,1.66
bat,3.84,2.33
bathe,5.89,1.51
be,3.81,2.2
beat,5.26,1.57
beckon,4.64,1.74
become,3.17,1.87
befriend,3.33,2.01
beg,4.77,1.83
begin,2.74,1.37
behave,4.23,1.87
believe,2.83,2.04
belong,2.97,1.56
bend,5.64,1.66
benefit,2.9,1.51
berate,3.32,1.47
betray,3,1.88
beware,2.78,1.71
bind,3.42,1.84
blame,3.1,1.8
bleed,6.48,0.72
bless,3,1.93
blink,5.94,1.65
blush,5.87,1.2
boil,2.74,1.85
bomb,2.55,1.65
borrow,3.23,1.75
bother,3.39,1.71
braise,2.89,1.79
break,4.77,1.48
breathe,6.58,0.81
brighten,2.55,1.52
bring,4.43,2.03
broaden,2.23,1.31
brood,3.26,1.57
build,4.86,1.69
bully,4.92,1.84
bury,4.87,1.45
buy,3.42,2.03
calculate,2.87,1.93
call,4.94,1.94
cancel,2.06,1.36
care,3.65,1.96
carry,5.72,1.77
carve,3.61,1.93
cast,3.32,1.56
cater,3.64,2.14
cause,2.94,1.63
cease,2.89,1.6
chase,5.84,1.19
chastise,3.63,1.86
chat,5.44,1.71
chatter,5.17,1.81
cheat,3.71,2.02
check,3.45,1.71
chew,6.25,1.27
choke,6.03,1.17
choose,2.75,1.63
chop,4.52,2.03
chuckle,5.91,1.54
cite,2.42,1.46
clean,5.55,1.43
clench,6.03,1.28
cling,4.86,1.69
clip,3.61,1.75
close,3.06,1.67
clothe,5.39,1.52
coax,3.68,1.56
comb,5.03,2.08
combine,2.83,1.38
come,3.94,1.97
comfort,4.26,1.79
commend,2.77,1.61
communicate,5.42,1.63
compel,3,1.75
compensate,2.9,1.47
complain,3.68,1.7
comply,3.03,1.59
compose,3.06,1.69
comprehend,2.94,1.87
compromise,3.06,1.65
concentrate,3.56,1.9
condemn,2.74,1.7
conduct,3.71,1.87
confirm,2.77,1.73
congregate,3.89,1.89
