word,embod_m,embod_sd
bite,6.16,1.34412301
blow,5.56,1.356465997
break,4.48,1.636052159
bring,4.72,1.947648154
build,5.44,1.474222959
bump,5.44,1.583245612
buy,3.68,1.994158135
carry,5.92,1.25565388
catch,5.6,1.755942292
chase,5.8,1.38443731
clap,6.4,1.040833
clean,5.04,1.813835715
climb,5.96,1.4571662
close,4.8,1.632993162
cook,5.88,1.235583533
cover,4.6,1.471960144
cry,5.84,1.434108318
cut,4.88,1.855622088
dance,6.4,1.118033989
draw,5.72,1.1
drink,6.12,1.268857754
drive,5.72,1.514375559
drop,5.04,1.645195024
dry,3.48,1.98158186
dump,4.4,2.041241452
eat,6.56,0.711805217
fall,5.4,1.658312395
feed,5.24,1.562049935
find,3.84,1.748332539
finish,3.72,1.671326818
fit,3.76,1.690167645
fix,5.24,1.479864859
get,4.28,1.814754345
give,4.44,1.685229955
go,5.12,1.78699002
hate,2.92,2.177919497
have,2.88,2.006655592
hear,5.12,1.921804707
help,3.92,1.630950643
hide,4.48,1.82847842
hit,5.84,1.312757911
hold,5.88,1.563116545
hug,6.6,0.816496581
hurry,4.76,1.809235566
jump,6.4,1.322875656
kick,6.56,0.916515139
kiss,6.24,1.42243922
knock,6.04,1.135781669
lick,6.12,1.423610434
like,3.04,1.71949605
listen,4.72,1.860107524
look,5.04,1.695090951
love,3.76,2.107130751
make,4.88,1.508862706
open,5.16,1.772004515
paint,5.88,1.332916602
pick,5.08,1.869046103
play,5.72,1.173314394
pour,5.28,1.594783162
pretend,3.24,1.963839776
pull,5.92,1.411854572
push,5.84,1.312757911
put,4.44,1.685229955
read,4.92,1.754042949
ride,5.36,2.018250067
rip,5.28,1.814754345
run,6.36,1.410673598
say,5.28,1.768238295
see,5,2.041241452
shake,5.76,1.588500341
share,3.72,1.882374387
show,4.36,1.704894914
sing,6.24,1.090871211
sit,5.6,1.658312395
skate,6.12,1.508862706
sleep,5.76,1.614517472
slide,5.8,1.5
smile,6.32,1.029563014
spill,4.72,1.541644144
splash,5.24,1.762573876
stand,5.84,1.518771433
stay,4.08,2.039607805
stop,4.16,1.598957994
sweep,5.68,1.435270009
swim,6.4,1.154700538
swing,5.68,1.492201952
take,4.92,1.605199884
talk,5.88,1.201388086
taste,5.56,1.804623691
tear,5.2,1.658312395
think,3.88,2.403469714
throw,6.08,1.411854572
tickle,6.4,1.040833
touch,6.28,1.1
wait,3.56,1.894729532
wake,5.24,1.614517472
walk,6.56,0.820568908
wash,5.24,1.920937271
watch,4.68,1.651262144
wipe,5.96,1.48548533
wish,3.32,2.427618861
work,4.92,1.469693846
write,5.4,1.707825128
