participant_id,age,sex,ethnicity,birth_country,residence_country,nationality,native_language,student_status,employment_status
id_1,52,female,white,usa,usa,usa,english,no,full_time
id_2,28,male,asian,usa,usa,usa,english,yes,
id_3,42,male,white,usa,usa,usa,english,,
id_4,36,female,other,usa,usa,usa,english,no,not_in_paid_work_eg_homemaker_retired_disabled
id_5,28,male,asian,usa,usa,usa,bengali,yes,other
id_6,29,male,white,usa,usa,usa,english,no,other
id_7,50,female,white,usa,usa,usa,english,,full_time
id_8,28,male,white,usa,usa,usa,english,,
id_9,33,female,white,usa,usa,usa,english,,
id_10,29,male,other,usa,usa,usa,english,yes,part_time
id_11,34,female,black,usa,usa,usa,english,no,full_time
id_12,30,male,white,usa,usa,usa,english,,
id_13,42,female,white,usa,usa,usa,english,,
id_14,51,female,white,usa,usa,usa,english,no,part_time
id_15,25,female,prefer_not_to_say,saudi_arabia,usa,usa,arabic,no,unemployed_and_job_seeking
id_16,38,male,white,usa,usa,usa,english,,
id_17,63,male,black,usa,usa,usa,english,,
id_18,35,male,asian,usa,usa,usa,english,,
id_19,27,male,black,usa,usa,usa,english,,unemployed_and_job_seeking
id_20,28,female,mixed,usa,usa,usa,english,,
id_21,38,male,white,usa,usa,usa,english,,
id_22,29,male,black,usa,usa,usa,english,,
id_23,25,female,black,usa,usa,usa,english,Yes,part_time
id_24,31,male,other,usa,usa,usa,english,,
id_25,34,male,other,usa,usa,usa,spanish,No,other
