id,To bite,To blow,To break,To bring,To build,To bump,To buy,To carry,To catch,To chase,To clap,To clean,To climb,To close,To cook,To cover,To cry,To cut,To dance,To draw,To drink,To drive,To drop,To dry,To dump,To eat,To fall,To feed,To find,To finish,To fit,To fix,To get,To give,To go,To hate,To have,To hear,To help,To hide,To hit,To hold,To hug,To hurry,To jump,To kick,To kiss,To knock,To lick,To like,To listen,To look,To love,To make,To open,To paint,To pick,To play,To pour,To pretend,To pull,To push,To put,To read,To ride,To rip,To run,To say,To see,To shake,To share,To show,To sing,To sit,To skate,To sleep,To slide,To smile,To spill,To splash,To stand,To stay,To stop,To sweep,To swim,To swing,To take,To talk,To taste,To tear,To think,To throw,To tickle,To touch,To wait,To wake,To walk,To wash,To watch,To wipe,To wish,To work,To write
6785a0351b46b57b6bcbd039,7,6,2,1,2,4,1,4,7,7,7,2,7,2,6,3,7,2,7,6,7,7,3,1,1,7,3,7,1,2,1,2,1,2,2,2,1,2,1,2,7,6,7,3,7,7,7,7,7,1,4,3,3,2,1,6,1,6,1,1,7,6,2,5,7,4,7,3,2,6,1,2,7,7,7,6,7,7,2,2,7,1,2,7,7,7,2,7,2,3,4,7,7,7,3,4,7,2,4,7,1,4,6
664439645a9a29be43d5bf5a,4,4,4,4,5,4,4,4,6,4,6,4,4,4,7,4,7,4,6,7,6,7,4,6,4,4,4,4,4,2,4,6,4,5,4,4,4,4,4,4,4,4,6,4,4,4,6,4,4,4,4,5,7,4,4,7,4,6,4,7,4,4,4,7,6,2,4,7,4,4,4,4,7,4,7,6,4,6,4,4,5,4,4,6,4,4,4,6,4,2,6,5,6,5,4,4,5,5,4,5,7,6,7
6018a5c0e1600b187ccb8693,4,6,2,3,3,5,4,5,3,3,3,2,6,3,4,3,4,3,3,4,3,5,5,3,2,6,6,4,2,3,3,5,4,2,4,3,2,7,4,2,6,5,4,2,6,7,5,4,6,3,3,5,6,6,5,3,6,4,4,4,6,4,2,5,4,2,6,6,3,7,2,5,5,2,3,2,3,3,2,5,4,4,4,3,3,3,3,5,7,4,3,5,5,5,2,6,5,5,4,2,4,3,5
5ebb96b6cd673a0008ace9ce,7,6,4,4,5,7,3,6,5,5,7,6,6,3,7,4,7,7,7,6,6,6,6,6,6,7,6,6,3,3,4,5,4,4,6,1,1,4,3,6,6,6,7,2,7,7,7,7,7,1,3,3,1,4,6,6,2,5,7,1,6,5,4,5,6,7,7,5,4,7,2,6,7,7,7,7,7,4,6,6,7,5,5,7,7,7,3,4,6,7,1,7,7,6,1,7,7,7,4,7,2,3,2
6712fe1173dfa2bfa2d6294b,7,7,4,1,6,7,1,6,7,2,7,6,7,6,6,7,7,7,7,7,7,7,7,5,7,7,7,7,1,2,2,5,1,3,5,1,1,3,2,3,7,7,7,1,7,7,7,7,7,1,3,5,2,2,6,7,2,7,7,1,7,7,2,5,7,7,7,1,7,7,1,2,7,7,7,3,7,7,5,7,7,1,2,7,7,7,5,7,2,7,1,7,7,7,3,3,7,7,5,7,2,5,7
655fd5be8c6f7bfe39e75e96,6,4,2,5,4,4,3,6,4,5,6,4,5,3,4,4,6,3,6,3,7,5,3,1,3,7,2,3,3,5,4,5,4,3,6,5,2,3,1,5,5,5,7,2,6,6,6,6,6,5,2,2,7,3,4,6,5,4,5,2,3,5,4,1,1,5,4,1,1,4,2,1,6,3,6,6,5,6,4,5,1,1,5,5,6,4,5,5,7,5,3,4,7,4,1,1,6,5,2,5,5,5,2
66ec4adbeb5602188fdf76f4,7,7,3,7,7,7,2,2,7,5,7,7,3,7,7,3,7,3,7,7,7,7,7,3,2,7,7,7,2,2,3,4,3,3,7,1,1,7,3,2,5,7,7,6,7,7,7,7,7,2,7,7,6,5,7,7,7,7,3,2,7,3,2,5,7,6,7,7,7,7,2,4,7,7,7,7,7,7,7,5,7,7,2,4,7,7,6,7,7,7,7,7,7,7,3,7,7,2,6,7,1,3,7
65ccca52871269168cc029b5,7,6,5,4,4,3,3,7,6,5,7,4,7,5,5,5,6,6,7,5,6,5,5,3,5,6,7,4,2,4,3,5,4,3,4,1,2,6,4,4,6,7,7,3,7,7,7,6,7,2,2,5,2,3,5,7,2,5,6,2,5,6,4,5,6,7,7,6,5,6,4,5,7,7,6,2,4,7,5,6,5,2,6,5,7,6,5,4,6,5,2,6,7,7,2,5,7,5,5,6,1,3,6
5f2dc4be9719bd0f8a6ce15c,4,2,4,1,3,2,1,7,1,4,4,1,1,3,7,2,4,1,3,4,4,7,2,1,1,7,4,2,4,2,1,6,1,4,1,4,2,7,1,2,2,1,5,5,1,5,1,4,4,1,6,7,1,4,1,4,5,4,4,1,2,3,2,7,1,2,1,5,7,1,4,1,3,2,1,4,2,7,4,2,4,2,4,3,4,4,4,7,6,3,6,1,4,7,4,4,4,1,7,7,3,4,2
6813dd9629f35dad5de66627,6,6,5,5,5,6,2,6,3,6,6,5,6,5,6,3,6,3,6,6,7,4,2,2,4,6,5,5,4,4,4,5,6,7,5,2,4,6,4,2,4,6,7,5,6,6,6,6,7,6,6,6,4,5,7,2,7,6,6,4,4,5,4,6,7,3,6,6,6,6,5,4,6,6,7,6,4,6,3,2,6,6,2,4,6,4,2,6,6,5,6,6,7,6,2,6,6,2,6,3,3,5,3
